Import Date,ISID,Project,Protein,Modality,Control Type,Stress Condition,Temp. (°C),Time (Days),Well ID,Protein Conc (mg/mL),Sample Name,Notebook#,pH,Buffer,Arginine (mM),NaCl (mM),PS80 (%),Sucrose (%),Trehalose (%),Additional Excipient Name,Additional Excipient Unit,Additional Excipient Conc,CE-SDS NR - %Purity Sum,CE-SDS NR - Δ %Purity,CE-SDS NR - Abs (Δ %Purity),CE-SDS Red - %Purity Main Peak,CE-SDS Red - %Purity Sum,CE-SDS Red - Δ %Purity,CE-SDS Red - Abs (Δ %Purity),UV-Vis - A350-A500,cIEF - %Main,cIEF - %Acidic,cIEF - %Basic,cIEF - Δ %Main,cIEF - Δ %Acidic,cIEF - Δ %Basic,cIEF - Abs (Δ %Main),cIEF - Abs (Δ %Acidic),cIEF - Abs (Δ %Basic),DSF - Tm1 (°C),DSF - Tm2 (°C),FC - Initial - 0.22 μm conc. (cells/mL),FC - Initial - 0.45 μm conc. (cells/mL),FC - Initial - 0.88 μm conc. (cells/mL),FC - Initial - 1 μm conc. (cells/mL),FC - Initial - 1.35 μm conc. (cells/mL),FC - Initial - 2 μm conc. (cells/mL),FC - Initial - 5 μm conc. (cells/mL),FC - Initial - 10 μm conc. (cells/mL),FC - Initial - 25 μm conc. (cells/mL),FC - Stress - 0.22 μm conc. (cells/mL),FC - Stress - 0.45 μm conc. (cells/mL),FC - Stress - 0.88 μm conc. (cells/mL),FC - Stress - 1 μm conc. (cells/mL),FC - Stress - 1.35 μm conc. (cells/mL),FC - Stress - 2 μm conc. (cells/mL),FC - Stress - 5 μm conc. (cells/mL),FC - Stress - 10 μm conc. (cells/mL),FC - Stress - 25 μm conc. (cells/mL),AVG__2_UM,AVG__5_UM,AVG__25_UM,AVG_2_50_UM,AVG__100_UM,AVG_PARTICLE_COVERAGE____,RP-UPLC %Main,RP-UPLC %Pre-Peak,RP-UPLC %Post-Peak,RP-UPLC - Δ %Main,RP-UPLC - Δ %Pre-Peak,RP-UPLC - Δ %Post-Peak,RP-UPLC - Abs (Δ %Main),RP-UPLC - Abs (Δ %Pre-Peak),RP-UPLC - Abs (Δ %Post-Peak),UP-SEC - %Monomer,UP-SEC - %LMW,UP-SEC - %HMW,UP-SEC - Δ %Monomer,UP-SEC - Δ %LMW,UP-SEC - Δ %HMW,UP-SEC - Abs(Δ %Monomer),UP-SEC - Abs(Δ %LMW),UP-SEC - Abs(Δ %HMW),BATCH_BIOREG_ID,C_BIOREG_ID,FRAMEWORK,MERCK_NAME,PI,MW,IMPORTED_DATA_FILE_NAME,TARGETS,REAGENT_TYPE,Simplified Excipients,1st Excipient in Sample,2nd Excipient in Sample,#Conc for Excipient1,Origin of data
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C02,1,,NB-ferguhei-5069961-0004,5,Acetate,0,50,0,0,0,,,,,,,,98.08,-1.62,,0.362,,,,,,,,,,57.4,59.2,10186,445,40,0,0,0,0,0,,4000000,4000000,3000000,3000000,1000000,77004,20,0,,,,,,,,,,,,,,,,,0,0,100,-94.01,-5.9,99.87,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C03,1,,NB-ferguhei-5069961-0004,6.2,Citrate,0,50,0,0,0,,,,,,,,99.65,-0.04,,0.178,,,,,,,,,,62.8,64.6,18957,647,61,0,0,0,0,0,,588908,416164,195137,109099,13178,4952,1011,0,,,,,,,,,,,,,,,,,89,9.04,2.01,-5.06,3.2,1.88,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C04,1,,NB-ferguhei-5069961-0004,6.8,Citrate,0,50,0,0,0,,,,,,,,99.6,-0.09,,0.107,,,,,,,,,,62,63.8,18331,808,0,0,0,0,0,0,,1000000,604704,202478,84957,1799,222,61,0,,,,,,,,,,,,,,,,,90,8.52,1.48,-4,2.7,1.35,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C05,1,,NB-ferguhei-5069961-0004,5,Histidine,0,50,0,0,0,,,,,,,,92.69,-7,,0.215,,,,,,,,,,56.6,58.8,14369,546,40,0,0,0,0,0,,3000000,3000000,2000000,2000000,202228,1597,20,0,,,,,,,,,,,,,,,,,16.1,18.56,65.29,,12.7,65.16,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C06,1,,NB-ferguhei-5069961-0004,5.6,Acetate,0,50,0,0,0,,,,,,,,99.24,-0.45,,0.423,,,,,,,,,,60,61.8,10368,889,101,40,0,0,0,0,,4000000,3000000,3000000,2000000,1000000,407079,141,20,,,,,,,,,,,,,,,,,88.7,8.45,2.89,-5.35,2.6,2.76,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C10,1,,NB-ferguhei-5069961-0004,6.2,Histidine,0,50,0,0,0,,,,,,,,99.55,-0.15,,0.35,,,,,,,,,,60.6,61.8,2587,263,61,20,20,0,0,0,,1000000,580990,130832,46401,5742,3154,0,0,,,,,,,,,,,,,,,,,88.6,5.92,5.46,-5.38,0.1,5.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C07,1,,NB-ferguhei-5069961-0004,5.6,Histidine,0,50,0,0,0,,,,,,,,98.09,-1.61,,0.338,,,,,,,,,,59.2,62,8266,222,20,0,0,0,0,0,,4000000,4000000,3000000,2000000,594094,8913,0,0,,,,,,,,,,,,,,,,,36.6,15.36,48.07,,9.5,47.94,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C08,1,,NB-ferguhei-5069961-0004,6.2,Acetate,0,50,0,0,0,,,,,,,,100,0.31,,0.145,,,,,,,,,,61.2,63.2,4749,303,20,20,0,0,0,0,,1000000,674854,222977,91426,2870,404,101,20,,,,,,,,,,,,,,,,,91,7.89,1.14,-3.04,2,1.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C09,1,,NB-ferguhei-5069961-0004,5.6,Citrate,0,50,0,0,0,,,,,,,,99.81,0.12,,0.239,,,,,,,,,,61.6,63,17603,505,61,20,0,0,0,0,,1000000,804665,295364,139161,6348,950,0,0,,,,,,,,,,,,,,,,,91.3,7.06,1.65,-2.73,1.2,1.52,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,C11,1,,NB-ferguhei-5069961-0004,6.8,Histidine,0,50,0,0,0,,,,,,,,100,0.31,,0.106,,,,,,,,,,62,64.2,243,20,0,0,0,0,0,0,,766134,460157,134797,48328,1354,323,61,20,,,,,,,,,,,,,,,,,95.1,4.47,0.46,1.06,-1.4,0.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D02,1,,NB-ferguhei-5069961-0004,5,Acetate,0,150,0,0,0,,,,,,,,96.32,-3.38,,0.357,,,,,,,,,,57.8,59.8,22817,748,61,0,0,0,0,0,,1000000,1000000,635052,451079,72987,7155,485,101,,,,,,,,,,,,,,,,,10.4,12.47,77.12,,6.6,76.99,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D03,1,,NB-ferguhei-5069961-0004,6.2,Citrate,0,150,0,0,0,,,,,,,,99.82,0.13,,0.269,,,,,,,,,,62.2,64,9337,525,20,20,0,0,0,0,,3000000,1000000,333804,149319,31263,11466,182,0,,,,,,,,,,,,,,,,,88.9,9.73,1.38,-5.12,3.9,1.25,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D04,1,,NB-ferguhei-5069961-0004,6.8,Citrate,0,150,0,0,0,,,,,,,,99.14,-0.55,,0.224,,,,,,,,,,63.2,64.6,12369,970,121,61,20,0,0,0,,4000000,2000000,798747,407753,67423,17730,384,0,,,,,,,,,,,,,,,,,86,12.44,1.56,-8,6.6,1.43,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D05,1,,NB-ferguhei-5069961-0004,5,Histidine,0,150,0,0,0,,,,,,,,90.07,-9.63,,0.555,,,,,,,,,,52.2,57.6,13743,748,81,20,0,0,0,0,,1000000,1000000,674495,439705,61224,12148,647,61,,,,,,,,,,,,,,,,,0,36.91,63.09,-94.01,31.1,62.96,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D06,1,,NB-ferguhei-5069961-0004,5.6,Acetate,0,150,0,0,0,,,,,,,,99.28,-0.42,,0.226,,,,,,,,,,60,63.2,17886,1900,162,61,0,0,0,0,,2000000,1000000,761375,528535,94960,6490,243,20,,,,,,,,,,,,,,,,,93.1,5.79,1.09,-0.89,-0.1,0.96,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D07,1,,NB-ferguhei-5069961-0004,5.6,Histidine,0,150,0,0,0,,,,,,,,96.58,-3.11,,0.323,,,,,,,,,,59.8,56,7882,323,20,0,0,0,0,0,,3000000,3000000,2000000,1000000,142620,8146,263,0,,,,,,,,,,,,,,,,,0,0,100,-94.01,-5.9,99.87,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D08,1,,NB-ferguhei-5069961-0004,6.2,Acetate,0,150,0,0,0,,,,,,,,100,0.31,,0.192,,,,,,,,,,61.4,62.8,9923,505,61,0,0,0,0,0,,1000000,777896,331004,180734,19688,5599,323,20,,,,,,,,,,,,,,,,,91.5,7.92,0.62,-2.55,2.1,0.49,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D09,1,,NB-ferguhei-5069961-0004,5.6,Citrate,0,150,0,0,0,,,,,,,,98.92,-0.77,,0.23,,,,,,,,,,61.6,60,12672,1758,141,40,0,0,0,0,,2000000,1000000,399539,219969,14599,2608,162,0,,,,,,,,,,,,,,,,,90.5,7.61,1.9,-3.52,1.8,1.77,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D10,1,,NB-ferguhei-5069961-0004,6.2,Histidine,0,150,0,0,0,,,,,,,,99.71,0.01,,0.263,,,,,,,,,,60.4,61.8,10954,1011,283,121,20,0,0,0,,2000000,1000000,431357,242050,19529,3477,121,20,,,,,,,,,,,,,,,,,91.6,7.9,0.48,-2.39,2.1,0.35,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,D11,1,,NB-ferguhei-5069961-0004,6.8,Histidine,0,150,0,0,0,,,,,,,,100,0.31,,0.159,,,,,,,,,,60,62.6,11277,869,121,81,20,20,0,0,,1000000,899317,413817,236170,28281,5822,243,20,,,,,,,,,,,,,,,,,92.7,6.82,0.5,-1.33,1,0.37,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,5,0,H02,1,,NB-ferguhei-5069961-0004,6,Water,0,0,0,0,0,,,,,,,,99.67,,,0.05,71.8,22.26,5.99,0,,,,,,57.2,63,161730,45516,9722,5336,1112,303,40,0,,602508,113377,25595,14738,4953.2,2304.7,323.5,40.4,,,,,,,,,,,,,,,,,94,5.85,0.13,6.13,-5.97,0,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,5,0,H03,1,,NB-ferguhei-5069961-0004,5.5,Acetate,0,0,0,0,0,,,,,,,,,,,0.011,,,,,,,,,,61.4,62.6,895524,367092,115814,59413,13241,2951,182,61,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,2.99,0.28,8.85,-8.83,-0.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E03,1,,NB-ferguhei-5069961-0004,5.6,Acetate,0,0,0,0,0,,,,,,,,99.63,0.37,,0.055,,,,,,,,,,62,66,72617,3840,586,465,222,182,0,0,,1000000,622256,150721,25703,815,407,34,34,,,,,,,,,,,,,,,,,92.4,5.32,2.26,-2.56,2.58,-0.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E04,1,,NB-ferguhei-5069961-0004,6.2,Acetate,0,0,0,0,0,,,,,,,,99.61,0.35,,0.055,,,,,,,,,,56.4,62.4,7922,465,61,61,40,20,0,0,,157067,55892,8436,1409,85,17,0,0,,,,,,,,,,,,,,,,,90.3,7.34,2.34,-4.67,4.6,0.07,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E05,1,,NB-ferguhei-5069961-0004,5.6,Citrate,0,0,0,0,0,,,,,,,,99.6,0.33,,0.06,,,,,,,,,,61,63.6,16734,404,61,0,0,0,0,0,,41276,10523,2766,849,119,17,0,0,,,,,,,,,,,,,,,,,94.3,3.43,2.28,-0.68,0.69,0.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E06,1,,NB-ferguhei-5069961-0004,6.2,Citrate,0,0,0,0,0,,,,,,,,99.65,0.39,,0.055,,,,,,,,,,62.8,67.6,16067,445,40,20,0,0,0,0,,258651,134426,45861,17991,1256,187,0,0,,,,,,,,,,,,,,,,,94,4.05,1.94,-0.97,1.31,-0.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E07,1,,NB-ferguhei-5069961-0004,6.8,Citrate,0,0,0,0,0,,,,,,,,99.65,0.38,,0.055,,,,,,,,,,62,63.2,6386,505,61,40,20,20,0,0,,225466,117163,41464,15123,849,51,0,0,,,,,,,,,,,,,,,,,94,4.05,1.94,-0.97,1.31,-0.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E08,1,,NB-ferguhei-5069961-0004,5,Histidine,0,0,0,0,0,,,,,,,,99.57,0.31,,0.054,,,,,,,,,,55.2,56.6,8913,768,364,323,243,141,20,0,,2000000,881709,106412,8575,441,204,0,0,,,,,,,,,,,,,,,,,93.5,3.51,2.99,-1.48,0.77,0.72,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E09,1,,NB-ferguhei-5069961-0004,5.6,Histidine,0,0,0,0,0,,,,,,,,99.66,0.39,,0.054,,,,,,,,,,59.2,63.8,6649,384,121,81,81,81,0,0,,1000000,543933,82398,11749,170,34,0,0,,,,,,,,,,,,,,,,,94.4,3.3,2.27,-0.55,0.56,0,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E10,1,,NB-ferguhei-5069961-0004,6.2,Histidine,0,0,0,0,0,,,,,,,,99.59,0.32,,0.054,,,,,,,,,,61.8,63.8,10105,364,61,40,20,20,0,0,,584357,175988,9812,2071,492,373,102,17,,,,,,,,,,,,,,,,,95.7,2.48,1.78,0.76,-0.26,-0.49,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45,10,E11,1,,NB-ferguhei-5069961-0004,6.8,Histidine,0,0,0,0,0,,,,,,,,99.47,0.21,,0.052,,,,,,,,,,61.8,63.2,15198,323,40,20,0,0,0,0,,217779,27515,3989,1765,509,289,34,17,,,,,,,,,,,,,,,,,95.9,2.3,1.83,0.88,-0.44,-0.44,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,69BHV,mAb,Single Control,,50,10,E02,1,,NB-ferguhei-5069961-0004,5,Acetate,0,0,0,0,0,,,,,,,,99.14,-0.55,,0.053,,,,,,,,,,64,64.6,48870,3496,404,263,101,61,0,0,,2000000,598840,151782,68036,22503,8067,202,101,,,,,,,,,,,,,,,,,89.6,3.63,6.78,1.71,-8.19,6.49,,,,69BHV,69BHV,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,69BHV,mAb,Single Control,,50,10,E03,1,,NB-ferguhei-5069961-0004,6.2,Citrate,0,0,0,0,0,,,,,,,,99.12,-0.57,,0.078,,,,,,,,,,64.6,68.2,13197,505,61,40,20,0,0,0,,1000000,180714,8532,1355,61,40,0,0,,,,,,,,,,,,,,,,,95.3,4.57,0.17,7.38,-7.25,-0.12,,,,69BHV,69BHV,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
