"School","ExamScore","PercentFSM","Gender","VRBand","SchoolDenomination"
1,18,24,"Female","VR1","Maintained"
1,23,24,"Male","VR1","Maintained"
1,22,24,"Male","VR2","Maintained"
1,12,24,"Male","VR3","Maintained"
1,3,24,"Female","VR2","Maintained"
1,1,43,"Female","VR3","Maintained"
1,27,43,"Male","VR1","Maintained"
1,19,43,"Male","VR2","Maintained"
1,24,43,"Male","VR2","Maintained"
1,14,43,"Male","VR3","Maintained"
1,5,43,"Male","VR3","Maintained"
1,5,43,"Female","VR3","Maintained"
1,7,43,"Female","VR2","Maintained"
1,23,43,"Male","VR1","Maintained"
1,26,43,"Male","VR1","Maintained"
1,2,43,"Female","VR2","Maintained"
1,17,43,"Female","VR2","Maintained"
1,35,43,"Male","VR2","Maintained"
1,1,43,"Male","VR3","Maintained"
1,51,43,"Female","VR1","Maintained"
1,11,43,"Male","VR3","Maintained"
1,14,43,"Male","VR2","Maintained"
1,28,43,"Female","VR2","Maintained"
1,1,43,"Female","VR2","Maintained"
1,19,43,"Female","VR2","Maintained"
1,22,43,"Female","VR2","Maintained"
1,2,43,"Female","VR3","Maintained"
1,32,43,"Male","VR1","Maintained"
1,9,43,"Male","VR3","Maintained"
1,10,43,"Male","VR3","Maintained"
1,14,43,"Male","VR2","Maintained"
1,18,43,"Female","VR2","Maintained"
1,4,43,"Male","VR3","Maintained"
1,17,43,"Female","VR2","Maintained"
1,22,43,"Female","VR3","Maintained"
1,2,43,"Male","VR2","Maintained"
1,31,43,"Female","VR1","Maintained"
1,9,43,"Female","VR3","Maintained"
1,14,43,"Female","VR3","Maintained"
1,5,43,"Female","VR2","Maintained"
1,17,43,"Female","VR2","Maintained"
1,46,43,"Male","VR2","Maintained"
1,17,43,"Male","VR2","Maintained"
1,9,43,"Male","VR2","Maintained"
1,17,43,"Male","VR2","Maintained"
1,5,43,"Female","VR1","Maintained"
1,25,43,"Female","VR2","Maintained"
1,9,43,"Female","VR2","Maintained"
1,16,43,"Male","VR2","Maintained"
1,27,43,"Female","VR2","Maintained"
1,30,43,"Female","VR2","Maintained"
1,4,43,"Female","VR2","Maintained"
1,35,43,"Female","VR1","Maintained"
1,25,43,"Female","VR1","Maintained"
1,14,43,"Male","VR3","Maintained"
1,13,43,"Female","VR2","Maintained"
1,30,43,"Female","VR2","Maintained"
1,2,43,"Male","VR2","Maintained"
1,26,43,"Male","VR2","Maintained"
1,10,43,"Female","VR3","Maintained"
1,49,43,"Male","VR1","Maintained"
1,4,43,"Male","VR3","Maintained"
1,25,43,"Female","VR1","Maintained"
1,1,43,"Female","VR3","Maintained"
1,16,43,"Male","VR2","Maintained"
1,6,43,"Female","VR2","Maintained"
1,28,43,"Female","VR2","Maintained"
1,9,43,"Female","VR2","Maintained"
1,23,43,"Female","VR2","Maintained"
1,18,43,"Female","VR3","Maintained"
1,5,43,"Female","VR3","Maintained"
1,43,43,"Female","VR1","Maintained"
1,16,43,"Female","VR3","Maintained"
1,17,43,"Male","VR2","Maintained"
1,10,43,"Female","VR3","Maintained"
1,5,43,"Female","VR1","Maintained"
1,28,43,"Female","VR2","Maintained"
1,19,43,"Male","VR2","Maintained"
1,22,43,"Female","VR2","Maintained"
1,2,43,"Male","VR3","Maintained"
1,11,43,"Female","VR2","Maintained"
1,33,43,"Female","VR1","Maintained"
1,9,43,"Male","VR1","Maintained"
1,7,43,"Male","VR1","Maintained"
1,11,43,"Male","VR2","Maintained"
1,36,43,"Female","VR2","Maintained"
1,10,43,"Female","VR2","Maintained"
1,22,43,"Female","VR2","Maintained"
1,30,43,"Female","VR2","Maintained"
1,9,43,"Female","VR1","Maintained"
1,11,43,"Male","VR3","Maintained"
1,23,43,"Female","VR2","Maintained"
1,7,43,"Male","VR3","Maintained"
1,15,43,"Female","VR2","Maintained"
1,8,43,"Female","VR3","Maintained"
1,3,43,"Male","VR2","Maintained"
1,14,43,"Female","VR2","Maintained"
1,41,43,"Female","VR2","Maintained"
1,10,43,"Female","VR2","Maintained"
1,17,43,"Female","VR2","Maintained"
1,30,43,"Female","VR2","Maintained"
1,32,43,"Female","VR2","Maintained"
1,12,43,"Male","VR3","Maintained"
1,2,43,"Female","VR2","Maintained"
1,5,43,"Female","VR3","Maintained"
1,6,43,"Male","VR2","Maintained"
1,15,43,"Male","VR3","Maintained"
1,19,43,"Male","VR1","Maintained"
1,35,43,"Female","VR1","Maintained"
1,10,43,"Male","VR3","Maintained"
1,15,43,"Female","VR2","Maintained"
1,4,43,"Female","VR2","Maintained"
1,16,43,"Male","VR3","Maintained"
1,5,43,"Female","VR2","Maintained"
1,7,43,"Female","VR2","Maintained"
1,14,43,"Male","VR2","Maintained"
1,23,43,"Male","VR2","Maintained"
1,43,43,"Male","VR1","Maintained"
1,14,43,"Female","VR1","Maintained"
1,3,43,"Male","VR1","Maintained"
1,24,43,"Female","VR2","Maintained"
1,12,43,"Female","VR3","Maintained"
1,7,43,"Female","VR3","Maintained"
1,49,43,"Female","VR2","Maintained"
1,24,43,"Male","VR2","Maintained"
2,30,54,"Male","VR2","Maintained"
2,60,54,"Male","VR1","Maintained"
2,48,54,"Male","VR1","Maintained"
2,25,54,"Male","VR1","Maintained"
2,15,54,"Female","VR2","Maintained"
2,30,54,"Female","VR2","Maintained"
2,32,54,"Male","VR2","Maintained"
2,32,54,"Male","VR1","Maintained"
2,1,54,"Male","VR3","Maintained"
2,3,54,"Female","VR3","Maintained"
2,13,54,"Female","VR2","Maintained"
2,17,54,"Male","VR1","Maintained"
2,20,54,"Female","VR1","Maintained"
2,40,54,"Female","VR1","Maintained"
2,45,54,"Female","VR1","Maintained"
2,5,54,"Female","VR2","Maintained"
2,45,54,"Male","VR1","Maintained"
2,2,54,"Female","VR2","Maintained"
2,1,54,"Male","VR3","Maintained"
2,21,54,"Male","VR1","Maintained"
2,29,54,"Female","VR3","Maintained"
2,10,54,"Male","VR3","Maintained"
2,10,54,"Female","VR2","Maintained"
2,30,54,"Male","VR2","Maintained"
2,32,54,"Female","VR2","Maintained"
2,14,54,"Male","VR2","Maintained"
2,38,54,"Female","VR2","Maintained"
2,12,54,"Male","VR2","Maintained"
2,32,54,"Female","VR1","Maintained"
2,39,54,"Male","VR1","Maintained"
2,18,54,"Male","VR2","Maintained"
2,3,54,"Female","VR3","Maintained"
2,11,54,"Male","VR2","Maintained"
2,20,54,"Female","VR2","Maintained"
2,25,54,"Male","VR2","Maintained"
2,13,54,"Male","VR2","Maintained"
2,26,54,"Female","VR1","Maintained"
2,18,54,"Male","VR2","Maintained"
2,35,54,"Female","VR2","Maintained"
2,1,54,"Female","VR3","Maintained"
2,9,54,"Female","VR3","Maintained"
2,46,54,"Female","VR2","Maintained"
2,12,54,"Male","VR3","Maintained"
2,39,54,"Female","VR2","Maintained"
2,14,54,"Male","VR3","Maintained"
2,50,54,"Male","VR1","Maintained"
2,1,54,"Male","VR2","Maintained"
2,41,54,"Female","VR1","Maintained"
2,4,54,"Male","VR3","Maintained"
2,70,54,"Female","VR1","Maintained"
2,56,54,"Female","VR2","Maintained"
2,48,54,"Male","VR1","Maintained"
2,40,54,"Male","VR2","Maintained"
2,28,54,"Male","VR2","Maintained"
2,70,54,"Female","VR1","Maintained"
2,19,54,"Male","VR3","Maintained"
2,1,54,"Female","VR3","Maintained"
2,12,54,"Male","VR2","Maintained"
2,9,54,"Female","VR3","Maintained"
2,47,54,"Female","VR1","Maintained"
2,30,54,"Female","VR1","Maintained"
2,17,54,"Female","VR3","Maintained"
2,11,54,"Female","VR3","Maintained"
2,24,54,"Male","VR3","Maintained"
2,5,54,"Male","VR3","Maintained"
2,46,54,"Male","VR1","Maintained"
2,40,54,"Female","VR2","Maintained"
2,44,54,"Female","VR1","Maintained"
2,22,54,"Male","VR2","Maintained"
2,36,54,"Male","VR1","Maintained"
2,14,54,"Female","VR2","Maintained"
2,4,54,"Female","VR3","Maintained"
2,8,54,"Female","VR3","Maintained"
2,5,54,"Male","VR3","Maintained"
2,38,54,"Female","VR2","Maintained"
2,30,54,"Male","VR2","Maintained"
2,45,54,"Male","VR1","Maintained"
2,8,54,"Male","VR2","Maintained"
2,38,54,"Female","VR1","Maintained"
2,48,54,"Male","VR1","Maintained"
2,41,54,"Female","VR1","Maintained"
2,54,54,"Female","VR1","Maintained"
2,31,54,"Female","VR2","Maintained"
2,39,54,"Female","VR2","Maintained"
2,5,54,"Male","VR3","Maintained"
2,28,54,"Male","VR2","Maintained"
2,2,54,"Male","VR2","Maintained"
2,47,54,"Male","VR1","Maintained"
2,6,54,"Male","VR2","Maintained"
2,49,54,"Male","VR1","Maintained"
2,20,54,"Female","VR2","Maintained"
3,20,24,"Male","VR1","Church of England"
3,12,24,"Male","VR2","Church of England"
3,16,24,"Male","VR3","Church of England"
3,10,24,"Male","VR2","Church of England"
3,9,24,"Male","VR2","Church of England"
3,19,24,"Male","VR2","Church of England"
3,19,24,"Male","VR2","Church of England"
3,18,24,"Male","VR2","Church of England"
3,10,24,"Male","VR2","Church of England"
3,22,24,"Male","VR2","Church of England"
3,52,24,"Male","VR1","Church of England"
3,1,24,"Male","VR3","Church of England"
3,9,24,"Male","VR1","Church of England"
3,1,24,"Male","VR3","Church of England"
3,13,24,"Male","VR2","Church of England"
3,9,24,"Male","VR3","Church of England"
3,12,24,"Male","VR2","Church of England"
3,24,24,"Male","VR2","Church of England"
3,25,24,"Male","VR1","Church of England"
3,6,24,"Male","VR2","Church of England"
3,23,24,"Male","VR2","Church of England"
3,9,24,"Male","VR2","Church of England"
3,4,24,"Male","VR2","Church of England"
3,32,24,"Male","VR1","Church of England"
3,27,24,"Male","VR1","Church of England"
3,12,24,"Male","VR3","Church of England"
3,31,24,"Male","VR1","Church of England"
3,3,24,"Male","VR2","Church of England"
3,15,24,"Male","VR2","Church of England"
3,28,24,"Male","VR2","Church of England"
3,18,24,"Male","VR2","Church of England"
3,20,24,"Male","VR1","Church of England"
3,6,24,"Male","VR3","Church of England"
3,11,37,"Male","VR3","Church of England"
3,39,37,"Male","VR1","Church of England"
3,10,37,"Male","VR3","Church of England"
3,22,37,"Male","VR2","Church of England"
3,8,37,"Male","VR2","Church of England"
3,32,37,"Male","VR2","Church of England"
3,20,37,"Male","VR2","Church of England"
3,21,37,"Male","VR2","Church of England"
3,18,37,"Male","VR3","Church of England"
3,23,37,"Male","VR2","Church of England"
3,13,37,"Male","VR3","Church of England"
3,4,37,"Male","VR3","Church of England"
3,25,37,"Male","VR2","Church of England"
3,17,37,"Male","VR2","Church of England"
3,11,37,"Male","VR2","Church of England"
3,4,37,"Male","VR3","Church of England"
3,29,37,"Male","VR2","Church of England"
3,30,37,"Male","VR1","Church of England"
3,8,37,"Male","VR2","Church of England"
3,30,37,"Male","VR2","Church of England"
3,3,37,"Male","VR2","Church of England"
3,34,37,"Male","VR1","Church of England"
3,23,37,"Male","VR2","Church of England"
3,17,37,"Male","VR2","Church of England"
3,26,37,"Male","VR1","Church of England"
3,29,37,"Male","VR1","Church of England"
3,13,37,"Male","VR2","Church of England"
3,8,37,"Male","VR2","Church of England"
3,26,37,"Male","VR2","Church of England"
3,43,37,"Male","VR1","Church of England"
3,7,37,"Male","VR3","Church of England"
3,22,37,"Male","VR2","Church of England"
3,22,37,"Male","VR1","Church of England"
3,6,37,"Male","VR1","Church of England"
3,32,37,"Male","VR2","Church of England"
3,3,37,"Male","VR3","Church of England"
3,38,37,"Male","VR1","Church of England"
3,15,37,"Male","VR2","Church of England"
3,35,37,"Male","VR1","Church of England"
3,20,37,"Male","VR1","Church of England"
3,20,37,"Male","VR2","Church of England"
3,4,37,"Male","VR2","Church of England"
3,20,37,"Male","VR2","Church of England"
3,5,37,"Male","VR2","Church of England"
3,39,37,"Male","VR1","Church of England"
3,25,37,"Male","VR2","Church of England"
3,3,37,"Male","VR3","Church of England"
3,25,37,"Male","VR1","Church of England"
3,14,37,"Male","VR2","Church of England"
3,13,37,"Male","VR1","Church of England"
3,15,37,"Male","VR2","Church of England"
3,10,37,"Male","VR2","Church of England"
3,10,37,"Male","VR2","Church of England"
3,16,37,"Male","VR3","Church of England"
3,16,37,"Male","VR2","Church of England"
3,12,37,"Male","VR1","Church of England"
3,10,37,"Male","VR2","Church of England"
3,46,37,"Male","VR2","Church of England"
3,30,37,"Male","VR2","Church of England"
3,32,37,"Male","VR2","Church of England"
3,15,37,"Male","VR2","Church of England"
3,25,37,"Male","VR2","Church of England"
4,28,20,"Male","VR2","Church of England"
4,33,20,"Female","VR2","Church of England"
4,20,20,"Male","VR2","Church of England"
4,31,20,"Male","VR2","Church of England"
4,38,20,"Female","VR1","Church of England"
4,41,20,"Female","VR1","Church of England"
4,21,20,"Male","VR1","Church of England"
4,32,20,"Female","VR1","Church of England"
4,27,20,"Female","VR2","Church of England"
4,34,20,"Male","VR1","Church of England"
4,12,20,"Female","VR2","Church of England"
4,2,20,"Male","VR3","Church of England"
4,3,20,"Male","VR3","Church of England"
4,16,20,"Male","VR3","Church of England"
4,14,20,"Male","VR3","Church of England"
4,28,20,"Female","VR2","Church of England"
4,9,20,"Male","VR2","Church of England"
4,2,20,"Female","VR3","Church of England"
4,2,20,"Male","VR3","Church of England"
4,16,20,"Male","VR2","Church of England"
4,18,20,"Female","VR2","Church of England"
4,13,20,"Female","VR3","Church of England"
4,54,20,"Female","VR1","Church of England"
4,16,20,"Male","VR2","Church of England"
4,50,20,"Male","VR1","Church of England"
4,24,20,"Male","VR3","Church of England"
4,14,20,"Female","VR2","Church of England"
4,31,20,"Female","VR1","Church of England"
4,3,20,"Female","VR3","Church of England"
4,33,20,"Female","VR1","Church of England"
4,37,20,"Female","VR1","Church of England"
4,3,20,"Female","VR3","Church of England"
4,17,20,"Female","VR2","Church of England"
4,28,20,"Female","VR1","Church of England"
4,29,20,"Male","VR1","Church of England"
4,11,20,"Female","VR3","Church of England"
4,20,20,"Male","VR1","Church of England"
4,8,20,"Male","VR3","Church of England"
4,20,20,"Male","VR2","Church of England"
4,12,20,"Female","VR2","Church of England"
4,36,20,"Female","VR2","Church of England"
4,10,20,"Male","VR1","Church of England"
4,32,20,"Male","VR2","Church of England"
4,14,20,"Female","VR2","Church of England"
4,26,20,"Female","VR3","Church of England"
4,50,20,"Female","VR1","Church of England"
4,21,20,"Male","VR2","Church of England"
4,4,20,"Female","VR3","Church of England"
4,2,20,"Male","VR3","Church of England"
4,22,20,"Female","VR2","Church of England"
4,24,20,"Female","VR2","Church of England"
4,41,20,"Female","VR1","Church of England"
4,20,20,"Male","VR2","Church of England"
4,24,20,"Female","VR1","Church of England"
4,11,20,"Female","VR3","Church of England"
4,27,20,"Male","VR1","Church of England"
4,21,20,"Male","VR2","Church of England"
4,36,20,"Male","VR1","Church of England"
4,26,20,"Male","VR1","Church of England"
4,21,20,"Male","VR2","Church of England"
4,19,20,"Male","VR2","Church of England"
4,23,20,"Male","VR1","Church of England"
4,15,20,"Male","VR3","Church of England"
4,39,20,"Male","VR1","Church of England"
4,3,20,"Male","VR3","Church of England"
4,8,20,"Female","VR3","Church of England"
4,20,20,"Male","VR2","Church of England"
4,5,20,"Male","VR3","Church of England"
4,52,20,"Female","VR1","Church of England"
4,20,20,"Male","VR2","Church of England"
4,8,29,"Male","VR2","Church of England"
4,22,29,"Male","VR2","Church of England"
4,21,29,"Female","VR2","Church of England"
4,24,29,"Female","VR2","Church of England"
4,23,29,"Female","VR1","Church of England"
4,12,29,"Male","VR2","Church of England"
4,16,29,"Male","VR1","Church of England"
4,35,29,"Male","VR1","Church of England"
4,11,29,"Female","VR3","Church of England"
4,15,29,"Male","VR2","Church of England"
4,12,29,"Female","VR3","Church of England"
4,6,29,"Male","VR3","Church of England"
4,4,29,"Male","VR2","Church of England"
4,22,29,"Female","VR3","Church of England"
4,28,29,"Male","VR2","Church of England"
4,36,29,"Female","VR2","Church of England"
4,11,29,"Female","VR2","Church of England"
4,25,29,"Male","VR1","Church of England"
4,16,29,"Male","VR2","Church of England"
4,36,29,"Female","VR1","Church of England"
4,8,29,"Male","VR2","Church of England"
4,23,29,"Female","VR2","Church of England"
4,31,29,"Female","VR1","Church of England"
4,10,29,"Female","VR2","Church of England"
4,2,29,"Female","VR3","Church of England"
4,23,29,"Female","VR2","Church of England"
4,27,29,"Female","VR2","Church of England"
4,20,29,"Female","VR2","Church of England"
4,7,29,"Female","VR2","Church of England"
4,17,29,"Male","VR1","Church of England"
4,9,29,"Male","VR2","Church of England"
4,5,29,"Male","VR3","Church of England"
4,15,29,"Female","VR2","Church of England"
4,26,29,"Male","VR2","Church of England"
4,15,29,"Female","VR2","Church of England"
4,28,29,"Male","VR1","Church of England"
4,17,29,"Male","VR2","Church of England"
4,7,29,"Male","VR3","Church of England"
4,27,29,"Female","VR2","Church of England"
4,44,29,"Female","VR1","Church of England"
4,19,29,"Female","VR2","Church of England"
4,28,29,"Male","VR2","Church of England"
4,1,29,"Female","VR3","Church of England"
4,19,29,"Female","VR2","Church of England"
4,33,29,"Female","VR2","Church of England"
4,27,29,"Female","VR2","Church of England"
4,24,29,"Female","VR2","Church of England"
4,35,29,"Female","VR2","Church of England"
4,34,29,"Male","VR2","Church of England"
4,6,29,"Female","VR3","Church of England"
4,14,29,"Male","VR2","Church of England"
4,13,29,"Female","VR2","Church of England"
4,24,29,"Female","VR2","Church of England"
4,31,29,"Female","VR1","Church of England"
4,33,29,"Female","VR2","Church of England"
4,35,29,"Female","VR1","Church of England"
4,2,29,"Female","VR3","Church of England"
4,14,29,"Male","VR2","Church of England"
4,18,29,"Male","VR2","Church of England"
4,10,29,"Female","VR3","Church of England"
4,22,29,"Female","VR2","Church of England"
4,28,29,"Female","VR1","Church of England"
4,3,29,"Female","VR3","Church of England"
4,41,29,"Male","VR2","Church of England"
4,24,29,"Male","VR2","Church of England"
4,18,29,"Male","VR2","Church of England"
4,18,29,"Male","VR2","Church of England"
4,6,29,"Male","VR2","Church of England"
4,37,29,"Male","VR1","Church of England"
4,15,29,"Male","VR3","Church of England"
4,24,29,"Female","VR2","Church of England"
4,20,29,"Female","VR3","Church of England"
4,16,29,"Female","VR2","Church of England"
4,22,29,"Male","VR2","Church of England"
4,14,29,"Male","VR2","Church of England"
4,30,29,"Female","VR1","Church of England"
4,28,29,"Female","VR2","Church of England"
4,1,29,"Male","VR3","Church of England"
4,16,29,"Female","VR2","Church of England"
4,28,29,"Male","VR2","Church of England"
4,38,29,"Female","VR2","Church of England"
4,8,29,"Male","VR2","Church of England"
4,17,29,"Female","VR3","Church of England"
4,17,29,"Female","VR3","Church of England"
4,19,29,"Female","VR2","Church of England"
4,21,29,"Female","VR2","Church of England"
4,6,29,"Female","VR3","Church of England"
4,2,29,"Female","VR2","Church of England"
4,21,29,"Male","VR2","Church of England"
4,4,29,"Male","VR3","Church of England"
4,9,29,"Male","VR3","Church of England"
4,2,29,"Male","VR3","Church of England"
4,10,29,"Male","VR2","Church of England"
4,26,29,"Female","VR2","Church of England"
4,20,29,"Female","VR2","Church of England"
4,18,29,"Female","VR2","Church of England"
4,10,29,"Male","VR2","Church of England"
4,17,29,"Male","VR2","Church of England"
4,41,29,"Male","VR1","Church of England"
4,19,29,"Male","VR2","Church of England"
4,30,29,"Female","VR2","Church of England"
4,12,29,"Male","VR2","Church of England"
4,12,29,"Male","VR1","Church of England"
4,10,29,"Female","VR2","Church of England"
4,7,29,"Male","VR3","Church of England"
4,32,29,"Male","VR1","Church of England"
4,22,29,"Male","VR2","Church of England"
4,25,29,"Male","VR1","Church of England"
4,27,29,"Female","VR1","Church of England"
4,16,29,"Male","VR2","Church of England"
4,21,29,"Male","VR2","Church of England"
4,10,29,"Female","VR2","Church of England"
4,25,29,"Female","VR1","Church of England"
4,23,29,"Female","VR2","Church of England"
4,20,29,"Female","VR2","Church of England"
4,10,29,"Female","VR2","Church of England"
4,10,29,"Female","VR3","Church of England"
4,5,29,"Male","VR3","Church of England"
4,42,29,"Female","VR1","Church of England"
4,17,29,"Male","VR2","Church of England"
4,6,29,"Male","VR3","Church of England"
4,7,29,"Female","VR3","Church of England"
4,7,29,"Male","VR2","Church of England"
4,10,29,"Male","VR2","Church of England"
4,34,29,"Female","VR2","Church of England"
4,10,29,"Male","VR2","Church of England"
4,11,29,"Male","VR3","Church of England"
4,2,29,"Male","VR1","Church of England"
4,17,29,"Female","VR1","Church of England"
4,28,29,"Male","VR2","Church of England"
4,17,29,"Female","VR2","Church of England"
4,22,29,"Male","VR1","Church of England"
4,19,29,"Female","VR3","Church of England"
4,3,29,"Male","VR3","Church of England"
4,21,29,"Male","VR2","Church of England"
4,37,29,"Female","VR2","Church of England"
4,27,29,"Female","VR1","Church of England"
4,22,29,"Female","VR2","Church of England"
4,28,29,"Male","VR1","Church of England"
4,5,29,"Male","VR2","Church of England"
4,19,29,"Male","VR1","Church of England"
4,8,29,"Male","VR2","Church of England"
5,31,31,"Female","VR2","Maintained"
5,25,31,"Male","VR1","Maintained"
5,10,31,"Male","VR1","Maintained"
5,44,31,"Female","VR1","Maintained"
5,4,31,"Male","VR2","Maintained"
5,12,31,"Male","VR2","Maintained"
5,48,31,"Female","VR1","Maintained"
5,12,31,"Female","VR3","Maintained"
5,14,31,"Male","VR2","Maintained"
5,1,31,"Male","VR3","Maintained"
5,35,31,"Female","VR2","Maintained"
5,5,31,"Male","VR3","Maintained"
5,12,31,"Male","VR1","Maintained"
5,12,31,"Male","VR2","Maintained"
5,27,31,"Male","VR1","Maintained"
5,21,31,"Male","VR2","Maintained"
5,48,31,"Male","VR1","Maintained"
5,14,31,"Male","VR3","Maintained"
5,11,31,"Female","VR2","Maintained"
5,12,31,"Male","VR3","Maintained"
5,3,31,"Male","VR2","Maintained"
5,21,31,"Male","VR2","Maintained"
5,4,31,"Male","VR3","Maintained"
5,17,31,"Female","VR1","Maintained"
5,9,31,"Female","VR3","Maintained"
5,24,31,"Female","VR2","Maintained"
5,8,31,"Male","VR3","Maintained"
5,12,31,"Female","VR2","Maintained"
5,5,31,"Male","VR2","Maintained"
5,21,31,"Male","VR1","Maintained"
5,9,31,"Male","VR3","Maintained"
5,25,31,"Female","VR1","Maintained"
5,24,31,"Female","VR2","Maintained"
5,31,31,"Female","VR1","Maintained"
5,36,31,"Female","VR1","Maintained"
5,1,31,"Male","VR3","Maintained"
5,40,31,"Male","VR1","Maintained"
5,22,31,"Female","VR2","Maintained"
5,28,31,"Female","VR1","Maintained"
5,9,31,"Male","VR1","Maintained"
6,2,37,"Female","VR3","Maintained"
6,13,37,"Male","VR2","Maintained"
6,5,37,"Female","VR3","Maintained"
6,11,37,"Male","VR2","Maintained"
6,19,37,"Male","VR1","Maintained"
6,17,37,"Male","VR1","Maintained"
6,11,37,"Male","VR2","Maintained"
6,16,37,"Male","VR2","Maintained"
6,16,37,"Female","VR3","Maintained"
6,10,37,"Male","VR2","Maintained"
6,9,37,"Female","VR1","Maintained"
6,24,37,"Female","VR2","Maintained"
6,24,37,"Male","VR1","Maintained"
6,1,37,"Female","VR2","Maintained"
6,8,37,"Female","VR2","Maintained"
6,19,37,"Female","VR2","Maintained"
6,32,37,"Female","VR1","Maintained"
6,11,37,"Female","VR3","Maintained"
6,9,37,"Female","VR2","Maintained"
6,22,37,"Male","VR2","Maintained"
6,16,37,"Female","VR2","Maintained"
6,4,37,"Male","VR3","Maintained"
6,40,37,"Male","VR2","Maintained"
6,16,37,"Female","VR2","Maintained"
6,9,37,"Female","VR3","Maintained"
6,12,37,"Female","VR2","Maintained"
6,4,37,"Female","VR3","Maintained"
6,10,37,"Male","VR2","Maintained"
6,10,37,"Female","VR2","Maintained"
6,24,37,"Male","VR2","Maintained"
6,9,37,"Male","VR3","Maintained"
6,15,37,"Male","VR2","Maintained"
6,16,37,"Female","VR2","Maintained"
6,21,37,"Female","VR2","Maintained"
6,17,37,"Male","VR2","Maintained"
6,24,37,"Female","VR1","Maintained"
6,17,37,"Female","VR2","Maintained"
6,29,37,"Male","VR1","Maintained"
6,8,37,"Male","VR2","Maintained"
6,31,37,"Male","VR1","Maintained"
6,39,37,"Female","VR2","Maintained"
6,5,37,"Male","VR1","Maintained"
6,16,37,"Female","VR1","Maintained"
6,23,37,"Male","VR1","Maintained"
6,15,37,"Female","VR2","Maintained"
6,18,37,"Male","VR1","Maintained"
6,24,37,"Male","VR2","Maintained"
6,20,37,"Female","VR3","Maintained"
6,15,37,"Female","VR2","Maintained"
6,12,37,"Male","VR2","Maintained"
6,4,37,"Male","VR3","Maintained"
6,29,37,"Male","VR2","Maintained"
6,21,37,"Female","VR2","Maintained"
6,21,37,"Female","VR2","Maintained"
6,4,37,"Male","VR2","Maintained"
6,6,37,"Male","VR3","Maintained"
6,4,37,"Female","VR2","Maintained"
7,11,55,"Male","VR3","Maintained"
