Import_Date,ISID,Project,Protein,Modality,Control_Type,Stress_Condition,Temp_C_,Time_Days_,Well_ID,Protein_Conc_mg_mL_,Sample_Name,Notebook_,pH,Buffer,Arginine_mM_,NaCl_mM_,PS80_,Sucrose_,Trehalose_,Additional_Excipient_Name,Additional_Excipient_Unit,Additional_Excipient_Conc,CE_SDS_NR_Purity_Sum,CE_SDS_NR_chg_Purity,CE_SDS_NR_Abs_chg_Purity_,CE_SDS_Red_Purity_Main_Peak,CE_SDS_Red_Purity_Sum,CE_SDS_Red_chg_Purity,CE_SDS_Red_Abs_chg_Purity_,UV_Vis_A350_A500,cIEF_Main,cIEF_Acidic,cIEF_Basic,cIEF_chg_Main,cIEF_chg_Acidic,cIEF_chg_Basic,cIEF_Abs_chg_Main_,cIEF_Abs_chg_Acidic_,cIEF_Abs_chg_Basic_,DSF_Tm1_C_,DSF_Tm2_C_,FC_Initial_0_22_m_conc_cells_mL_,FC_Initial_0_45_m_conc_cells_mL_,FC_Initial_0_88_m_conc_cells_mL_,FC_Initial_1_m_conc_cells_mL_,FC_Initial_1_35_m_conc_cells_mL_,FC_Initial_2_m_conc_cells_mL_,FC_Initial_5_m_conc_cells_mL_,FC_Initial_10_m_conc_cells_mL_,FC_Initial_25_m_conc_cells_mL_,FC_Stress_0_22_m_conc_cells_mL_,FC_Stress_0_45_m_conc_cells_mL_,FC_Stress_0_88_m_conc_cells_mL_,FC_Stress_1_m_conc_cells_mL_,FC_Stress_1_35_m_conc_cells_mL_,FC_Stress_2_m_conc_cells_mL_,FC_Stress_5_m_conc_cells_mL_,FC_Stress_10_m_conc_cells_mL_,FC_Stress_25_m_conc_cells_mL_,AVG_2_UM,AVG_5_UM,AVG_25_UM,AVG_2_50_UM,AVG_100_UM,AVG_PARTICLE_COVERAGE_,RP_UPLC_Main,RP_UPLC_Pre_Peak,RP_UPLC_Post_Peak,RP_UPLC_chg_Main,RP_UPLC_chg_Pre_Peak,RP_UPLC_chg_Post_Peak,RP_UPLC_Abs_chg_Main_,RP_UPLC_Abs_chg_Pre_Peak_,RP_UPLC_Abs_chg_Post_Peak_,UP_SEC_Monomer,UP_SEC_LMW,UP_SEC_HMW,UP_SEC_chg_Monomer,UP_SEC_chg_LMW,UP_SEC_chg_HMW,UP_SEC_Abs_chg_Monomer_,UP_SEC_Abs_chg_LMW_,UP_SEC_Abs_chg_HMW_,BATCH_BIOREG_ID,C_BIOREG_ID,FRAMEWORK,MERCK_NAME,PI,MW,IMPORTED_DATA_FILE_NAME,TARGETS,REAGENT_TYPE,Simplified_Excipients,1st_Excipient_in_Sample,2nd_Excipient_in_Sample,_Conc_for_Excipient1,Origin_of_data
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C06,1.0,,NB-ferguhei-5069961-0004,5.6,Acetate,0,50,0.0,0.0,0,,,,,,,,99.24,-0.45,,0.423,,,,,,,,,,60.0,61.8,10368.0,889.0,101.0,40.0,0.0,0.0,0.0,0.0,,4000000.0,3000000.0,3000000.0,2000000.0,1000000.0,407079.0,141.0,20.0,,,,,,,,,,,,,,,,,88.7,8.45,2.89,-5.35,2.6,2.76,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C10,1.0,,NB-ferguhei-5069961-0004,6.2,Histidine,0,50,0.0,0.0,0,,,,,,,,99.55,-0.15,,0.35,,,,,,,,,,60.6,61.8,2587.0,263.0,61.0,20.0,20.0,0.0,0.0,0.0,,1000000.0,580990.0,130832.0,46401.0,5742.0,3154.0,0.0,0.0,,,,,,,,,,,,,,,,,88.6,5.92,5.46,-5.38,0.1,5.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C07,1.0,,NB-ferguhei-5069961-0004,5.6,Histidine,0,50,0.0,0.0,0,,,,,,,,98.09,-1.61,,0.338,,,,,,,,,,59.2,62.0,8266.0,222.0,20.0,0.0,0.0,0.0,0.0,0.0,,4000000.0,4000000.0,3000000.0,2000000.0,594094.0,8913.0,0.0,0.0,,,,,,,,,,,,,,,,,36.6,15.36,48.07,,9.5,47.94,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C08,1.0,,NB-ferguhei-5069961-0004,6.2,Acetate,0,50,0.0,0.0,0,,,,,,,,100.0,0.31,,0.145,,,,,,,,,,61.2,63.2,4749.0,303.0,20.0,20.0,0.0,0.0,0.0,0.0,,1000000.0,674854.0,222977.0,91426.0,2870.0,404.0,101.0,20.0,,,,,,,,,,,,,,,,,91.0,7.89,1.14,-3.04,2.0,1.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C09,1.0,,NB-ferguhei-5069961-0004,5.6,Citrate,0,50,0.0,0.0,0,,,,,,,,99.81,0.12,,0.239,,,,,,,,,,61.6,63.0,17603.0,505.0,61.0,20.0,0.0,0.0,0.0,0.0,,1000000.0,804665.0,295364.0,139161.0,6348.0,950.0,0.0,0.0,,,,,,,,,,,,,,,,,91.3,7.06,1.65,-2.73,1.2,1.52,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C11,1.0,,NB-ferguhei-5069961-0004,6.8,Histidine,0,50,0.0,0.0,0,,,,,,,,100.0,0.31,,0.106,,,,,,,,,,62.0,64.2,243.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,766134.0,460157.0,134797.0,48328.0,1354.0,323.0,61.0,20.0,,,,,,,,,,,,,,,,,95.1,4.47,0.46,1.06,-1.4,0.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D02,1.0,,NB-ferguhei-5069961-0004,5.0,Acetate,0,150,0.0,0.0,0,,,,,,,,96.32,-3.38,,0.357,,,,,,,,,,57.8,59.8,22817.0,748.0,61.0,0.0,0.0,0.0,0.0,0.0,,1000000.0,1000000.0,635052.0,451079.0,72987.0,7155.0,485.0,101.0,,,,,,,,,,,,,,,,,10.4,12.47,77.12,,6.6,76.99,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D03,1.0,,NB-ferguhei-5069961-0004,6.2,Citrate,0,150,0.0,0.0,0,,,,,,,,99.82,0.13,,0.269,,,,,,,,,,62.2,64.0,9337.0,525.0,20.0,20.0,0.0,0.0,0.0,0.0,,3000000.0,1000000.0,333804.0,149319.0,31263.0,11466.0,182.0,0.0,,,,,,,,,,,,,,,,,88.9,9.73,1.38,-5.12,3.9,1.25,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D04,1.0,,NB-ferguhei-5069961-0004,6.8,Citrate,0,150,0.0,0.0,0,,,,,,,,99.14,-0.55,,0.224,,,,,,,,,,63.2,64.6,12369.0,970.0,121.0,61.0,20.0,0.0,0.0,0.0,,4000000.0,2000000.0,798747.0,407753.0,67423.0,17730.0,384.0,0.0,,,,,,,,,,,,,,,,,86.0,12.44,1.56,-8.0,6.6,1.43,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D05,1.0,,NB-ferguhei-5069961-0004,5.0,Histidine,0,150,0.0,0.0,0,,,,,,,,90.07,-9.63,,0.555,,,,,,,,,,52.2,57.6,13743.0,748.0,81.0,20.0,0.0,0.0,0.0,0.0,,1000000.0,1000000.0,674495.0,439705.0,61224.0,12148.0,647.0,61.0,,,,,,,,,,,,,,,,,0.0,36.91,63.09,-94.01,31.1,62.96,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D06,1.0,,NB-ferguhei-5069961-0004,5.6,Acetate,0,150,0.0,0.0,0,,,,,,,,99.28,-0.42,,0.226,,,,,,,,,,60.0,63.2,17886.0,1900.0,162.0,61.0,0.0,0.0,0.0,0.0,,2000000.0,1000000.0,761375.0,528535.0,94960.0,6490.0,243.0,20.0,,,,,,,,,,,,,,,,,93.1,5.79,1.09,-0.89,-0.1,0.96,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D07,1.0,,NB-ferguhei-5069961-0004,5.6,Histidine,0,150,0.0,0.0,0,,,,,,,,96.58,-3.11,,0.323,,,,,,,,,,59.8,56.0,7882.0,323.0,20.0,0.0,0.0,0.0,0.0,0.0,,3000000.0,3000000.0,2000000.0,1000000.0,142620.0,8146.0,263.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,100.0,-94.01,-5.9,99.87,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D08,1.0,,NB-ferguhei-5069961-0004,6.2,Acetate,0,150,0.0,0.0,0,,,,,,,,100.0,0.31,,0.192,,,,,,,,,,61.4,62.8,9923.0,505.0,61.0,0.0,0.0,0.0,0.0,0.0,,1000000.0,777896.0,331004.0,180734.0,19688.0,5599.0,323.0,20.0,,,,,,,,,,,,,,,,,91.5,7.92,0.62,-2.55,2.1,0.49,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D09,1.0,,NB-ferguhei-5069961-0004,5.6,Citrate,0,150,0.0,0.0,0,,,,,,,,98.92,-0.77,,0.23,,,,,,,,,,61.6,60.0,12672.0,1758.0,141.0,40.0,0.0,0.0,0.0,0.0,,2000000.0,1000000.0,399539.0,219969.0,14599.0,2608.0,162.0,0.0,,,,,,,,,,,,,,,,,90.5,7.61,1.9,-3.52,1.8,1.77,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D10,1.0,,NB-ferguhei-5069961-0004,6.2,Histidine,0,150,0.0,0.0,0,,,,,,,,99.71,0.01,,0.263,,,,,,,,,,60.4,61.8,10954.0,1011.0,283.0,121.0,20.0,0.0,0.0,0.0,,2000000.0,1000000.0,431357.0,242050.0,19529.0,3477.0,121.0,20.0,,,,,,,,,,,,,,,,,91.6,7.9,0.48,-2.39,2.1,0.35,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,D11,1.0,,NB-ferguhei-5069961-0004,6.8,Histidine,0,150,0.0,0.0,0,,,,,,,,100.0,0.31,,0.159,,,,,,,,,,60.0,62.6,11277.0,869.0,121.0,81.0,20.0,20.0,0.0,0.0,,1000000.0,899317.0,413817.0,236170.0,28281.0,5822.0,243.0,20.0,,,,,,,,,,,,,,,,,92.7,6.82,0.5,-1.33,1.0,0.37,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 150 mM,NaCl 150 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,5.0,0.0,H03,1.0,,NB-ferguhei-5069961-0004,5.5,Acetate,0,0,0.0,0.0,0,,,,,,,,,,,0.011,,,,,,,,,,61.4,62.6,895524.0,367092.0,115814.0,59413.0,13241.0,2951.0,182.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,2.99,0.28,8.85,-8.83,-0.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45.0,10.0,E03,1.0,,NB-ferguhei-5069961-0004,5.6,Acetate,0,0,0.0,0.0,0,,,,,,,,99.63,0.37,,0.055,,,,,,,,,,62.0,66.0,72617.0,3840.0,586.0,465.0,222.0,182.0,0.0,0.0,,1000000.0,622256.0,150721.0,25703.0,815.0,407.0,34.0,34.0,,,,,,,,,,,,,,,,,92.4,5.32,2.26,-2.56,2.58,-0.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45.0,10.0,E04,1.0,,NB-ferguhei-5069961-0004,6.2,Acetate,0,0,0.0,0.0,0,,,,,,,,99.61,0.35,,0.055,,,,,,,,,,56.4,62.4,7922.0,465.0,61.0,61.0,40.0,20.0,0.0,0.0,,157067.0,55892.0,8436.0,1409.0,85.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,90.3,7.34,2.34,-4.67,4.6,0.07,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45.0,10.0,E05,1.0,,NB-ferguhei-5069961-0004,5.6,Citrate,0,0,0.0,0.0,0,,,,,,,,99.6,0.33,,0.06,,,,,,,,,,61.0,63.6,16734.0,404.0,61.0,0.0,0.0,0.0,0.0,0.0,,41276.0,10523.0,2766.0,849.0,119.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,94.3,3.43,2.28,-0.68,0.69,0.01,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45.0,10.0,E06,1.0,,NB-ferguhei-5069961-0004,6.2,Citrate,0,0,0.0,0.0,0,,,,,,,,99.65,0.39,,0.055,,,,,,,,,,62.8,67.6,16067.0,445.0,40.0,20.0,0.0,0.0,0.0,0.0,,258651.0,134426.0,45861.0,17991.0,1256.0,187.0,0.0,0.0,,,,,,,,,,,,,,,,,94.0,4.05,1.94,-0.97,1.31,-0.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45.0,10.0,E07,1.0,,NB-ferguhei-5069961-0004,6.8,Citrate,0,0,0.0,0.0,0,,,,,,,,99.65,0.38,,0.055,,,,,,,,,,62.0,63.2,6386.0,505.0,61.0,40.0,20.0,20.0,0.0,0.0,,225466.0,117163.0,41464.0,15123.0,849.0,51.0,0.0,0.0,,,,,,,,,,,,,,,,,94.0,4.05,1.94,-0.97,1.31,-0.33,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,0,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,45.0,10.0,E08,1.0,,NB-ferguhei-5069961-0004,5.0,Histidine,0,0,0.0,0.0,0,,,,,,,,99.57,0.31,,0.054,,,,,,,,,,55.2,56.6,8913.0,768.0,364.0,323.0,243.0,141.0,20.0,0.0,,2000000.0,881709.0,106412.0,8575.0,441.0,204.0,0.0,0.0,,,,,,,,,,,,,,,,,93.5,3.51,2.99,-1.48,0.77,0.72,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,0,Protein Formulation Characterization Summary
